Carico (N)	Deformazione (mm)	Sforzo (MPa)
		
4.3079	0.22266	0.29062
10.171	0.64211	0.68616
14.726	1.0610	0.99344
19.359	1.4800	1.3060
23.935	1.8989	1.6147
29.233	2.3177	1.9721
34.934	2.7361	2.3568
40.154	3.1552	2.7089
45.531	3.5742	3.0716
50.979	3.9933	3.4392
56.217	4.4123	3.7926
61.291	4.8314	4.1349
66.306	5.2504	4.4732
71.423	5.6695	4.8184
75.966	6.0885	5.1248
80.312	6.5076	5.4181
84.694	6.9266	5.7137
88.043	7.3457	5.9396
91.430	7.7647	6.1681
94.473	8.1837	6.3734
96.645	8.6028	6.5199
99.294	9.0218	6.6986
101.54	9.4409	6.8499
103.59	9.8599	6.9882
105.23	10.279	7.0989
105.64	10.698	7.1270
106.35	11.117	7.1750
106.83	11.536	7.2069
106.41	11.955	7.1787
105.80	12.374	7.1374
104.62	12.794	7.0583
103.23	13.213	6.9640
102.06	13.632	6.8852
101.02	14.051	6.8149
100.91	14.470	6.8075
101.30	14.889	6.8339
101.21	15.308	6.8279
102.11	15.727	6.8889
102.10	16.146	6.8879
101.91	16.565	6.8754
102.83	16.984	6.9372
102.37	17.404	6.9061
102.33	17.823	6.9036
103.25	18.242	6.9652
103.25	18.662	6.9656
103.38	19.081	6.9743
103.47	19.500	6.9806
103.89	19.918	7.0084
103.86	20.337	7.0067
103.87	20.756	7.0075
104.64	21.175	7.0596
103.99	21.594	7.0155
104.08	22.013	7.0216
104.78	22.431	7.0686
104.38	22.850	7.0420
104.77	23.269	7.0677
104.79	23.688	7.0696
104.82	24.107	7.0713
105.33	24.526	7.1060
105.54	24.945	7.1197
105.53	25.365	7.1197
105.53	25.784	7.1196
105.53	26.203	7.1196
105.53	26.622	7.1196
105.53	27.041	7.1195
105.53	27.460	7.1195
105.53	27.880	7.1196
105.54	28.299	7.1199
105.48	28.718	7.1159
104.59	29.137	7.0557
104.68	29.557	7.0617
104.84	29.976	7.0728
105.48	30.395	7.1162
105.10	30.814	7.0905
105.08	31.233	7.0891
105.09	31.652	7.0900
105.55	32.071	7.1209
105.26	32.490	7.1014
105.49	32.909	7.1167
106.10	33.328	7.1577
106.10	33.747	7.1578
106.51	34.166	7.1854
106.89	34.585	7.2109
107.64	35.004	7.2618
107.44	35.423	7.2479
107.44	35.841	7.2482
107.52	36.260	7.2536
107.73	36.679	7.2680
107.95	37.099	7.2824
108.75	37.518	7.3363
109.00	37.937	7.3533
109.25	38.356	7.3704
109.34	38.775	7.3766
109.35	39.194	7.3771
109.45	39.614	7.3838
109.67	40.033	7.3987
110.19	40.452	7.4337
110.45	40.871	7.4510
110.20	41.290	7.4344
110.78	41.709	7.4736
110.10	42.127	7.4279
110.15	42.547	7.4308
110.68	42.966	7.4669
111.03	43.385	7.4906
111.35	43.804	7.5122
111.46	44.223	7.5191
111.73	44.642	7.5373
111.89	45.061	7.5484
111.40	45.481	7.5152
111.23	45.900	7.5037
111.25	46.318	7.5050
111.15	46.737	7.4986
111.06	47.156	7.4922
111.00	47.575	7.4884
110.89	47.994	7.4812
110.83	48.413	7.4771
111.63	48.832	7.5308
110.83	49.251	7.4771
111.59	49.670	7.5280
111.51	50.089	7.5227
112.61	50.508	7.5967
113.01	50.926	7.6239
113.53	51.345	7.6591
114.05	51.764	7.6944
114.54	52.183	7.7274
114.73	52.603	7.7403
115.50	53.021	7.7918
115.81	53.441	7.8125
116.12	53.860	7.8340
117.09	54.279	7.8989
117.59	54.699	7.9331
117.50	55.118	7.9270
117.86	55.537	7.9509
118.28	55.956	7.9796
118.37	56.375	7.9856
118.29	56.794	7.9798
118.79	57.213	8.0138
119.45	57.633	8.0587
119.98	58.052	8.0943
119.77	58.471	8.0802
119.81	58.890	8.0827
119.84	59.309	8.0849
120.45	59.728	8.1257
120.26	60.148	8.1133
120.36	60.567	8.1196
120.65	60.986	8.1391
120.93	61.405	8.1585
121.49	61.824	8.1959
122.27	62.242	8.2486
122.75	62.661	8.2811
123.15	63.080	8.3077
123.45	63.499	8.3281
123.57	63.918	8.3365
124.45	64.337	8.3959
123.36	64.756	8.3220
123.29	65.174	8.3177
124.01	65.593	8.3659
124.04	66.012	8.3681
124.25	66.430	8.3825
124.99	66.849	8.4323
125.35	67.269	8.4563
125.74	67.688	8.4831
126.17	68.107	8.5118
126.59	68.526	8.5402
126.37	68.945	8.5255
126.89	69.364	8.5605
126.78	69.783	8.5527
127.19	70.202	8.5805
127.61	70.621	8.6087
127.22	71.040	8.5829
127.40	71.459	8.5950
